r	f_numeric	f_exact
0.006409	0.006368	0.006368
0.0064558	0.0064143	0.0064143
0.0065027	0.0064605	0.0064606
0.0065496	0.0065068	0.0065068
0.0065964	0.0065531	0.0065531
0.0066433	0.0065993	0.0065993
0.0066902	0.0066455	0.0066455
0.006737	0.0066918	0.0066918
0.0067839	0.006738	0.006738
0.0068308	0.0067842	0.0067843
0.0068776	0.0068305	0.0068305
0.0069245	0.0068767	0.0068767
0.0069713	0.0069229	0.0069229
0.0070182	0.0069691	0.0069691
0.0070651	0.0070153	0.0070153
0.0071119	0.0070615	0.0070615
0.0071588	0.0071077	0.0071077
0.0072057	0.0071539	0.0071539
0.0072525	0.0072001	0.0072001
0.0072994	0.0072463	0.0072463
0.0073463	0.0072925	0.0072925
0.0073932	0.0073387	0.0073387
0.00744	0.0073849	0.0073849
0.0074869	0.007431	0.007431
0.0075338	0.0074772	0.0074772
0.0075806	0.0075234	0.0075234
0.0076275	0.0075695	0.0075695
0.0076744	0.0076157	0.0076157
0.0077212	0.0076618	0.0076618
0.0077681	0.007708	0.007708
0.007815	0.0077541	0.0077541
0.0078619	0.0078003	0.0078003
0.0079087	0.0078464	0.0078464
0.0079556	0.0078925	0.0078926
0.0080025	0.0079387	0.0079387
0.0080493	0.0079848	0.0079848
0.0080962	0.0080309	0.0080309
0.0081431	0.008077	0.008077
0.00819	0.0081231	0.0081232
0.0082368	0.0081693	0.0081693
0.0082837	0.0082154	0.0082154
0.0083306	0.0082615	0.0082615
0.0083775	0.0083076	0.0083076
0.0084243	0.0083536	0.0083537
0.0084712	0.0083997	0.0083997
0.0085181	0.0084458	0.0084458
0.008565	0.0084919	0.0084919
0.0086118	0.008538	0.008538
0.0086587	0.008584	0.0085841
0.0087056	0.0086301	0.0086301
0.0087525	0.0086762	0.0086762
0.0087993	0.0087222	0.0087223
0.0088462	0.0087683	0.0087683
0.0088931	0.0088143	0.0088144
0.00894	0.0088604	0.0088604
0.0089869	0.0089064	0.0089065
0.0090337	0.0089525	0.0089525
0.0090806	0.0089985	0.0089985
0.0091275	0.0090446	0.0090446
0.0091744	0.0090906	0.0090906
0.0092213	0.0091366	0.0091366
0.0092681	0.0091826	0.0091826
0.009315	0.0092286	0.0092287
0.0093619	0.0092747	0.0092747
0.0094088	0.0093207	0.0093207
0.0094557	0.0093667	0.0093667
0.0095026	0.0094127	0.0094127
0.0095494	0.0094587	0.0094587
0.0095963	0.0095047	0.0095047
0.0096432	0.0095507	0.0095507
0.0096901	0.0095966	0.0095966
0.009737	0.0096426	0.0096426
0.0097839	0.0096886	0.0096886
0.0098308	0.0097346	0.0097346
0.0098776	0.0097805	0.0097806
0.0099245	0.0098265	0.0098265
0.0099714	0.0098725	0.0098725
0.010018	0.0099184	0.0099184
0.010065	0.0099644	0.0099644
0.010112	0.01001	0.01001
0.010159	0.010056	0.010056
0.010206	0.010102	0.010102
0.010253	0.010148	0.010148
0.0103	0.010194	0.010194
0.010347	0.01024	0.01024
0.010393	0.010286	0.010286
0.01044	0.010332	0.010332
0.010487	0.010378	0.010378
0.010534	0.010424	0.010424
0.010581	0.01047	0.01047
0.010628	0.010516	0.010516
0.010675	0.010561	0.010561
0.010722	0.010607	0.010607
0.010769	0.010653	0.010653
0.010815	0.010699	0.010699
0.010862	0.010745	0.010745
0.010909	0.010791	0.010791
0.010956	0.010837	0.010837
0.011003	0.010883	0.010883
0.01105	0.010929	0.010929
0.011097	0.010974	0.010974
0.011144	0.01102	0.01102
0.011191	0.011066	0.011066
0.011238	0.011112	0.011112
0.011284	0.011158	0.011158
0.011331	0.011204	0.011204
0.011378	0.01125	0.01125
0.011425	0.011295	0.011295
0.011472	0.011341	0.011341
0.011519	0.011387	0.011387
0.011566	0.011433	0.011433
0.011613	0.011479	0.011479
0.01166	0.011524	0.011525
0.011707	0.01157	0.01157
0.011753	0.011616	0.011616
0.0118	0.011662	0.011662
0.011847	0.011708	0.011708
0.011894	0.011754	0.011754
0.011941	0.011799	0.011799
0.011988	0.011845	0.011845
0.012035	0.011891	0.011891
0.012082	0.011937	0.011937
0.012129	0.011982	0.011983
0.012176	0.012028	0.012028
0.012223	0.012074	0.012074
0.012269	0.01212	0.01212
0.012316	0.012166	0.012166
0.012363	0.012211	0.012211
0.01241	0.012257	0.012257
0.012457	0.012303	0.012303
0.012504	0.012349	0.012349
0.012551	0.012394	0.012394
0.012598	0.01244	0.01244
0.012645	0.012486	0.012486
0.012692	0.012532	0.012532
0.012739	0.012577	0.012577
0.012785	0.012623	0.012623
0.012832	0.012669	0.012669
0.012879	0.012714	0.012715
0.012926	0.01276	0.01276
0.012973	0.012806	0.012806
0.01302	0.012852	0.012852
0.013067	0.012897	0.012897
0.013114	0.012943	0.012943
0.013161	0.012989	0.012989
0.013208	0.013034	0.013034
0.013255	0.01308	0.01308
0.013302	0.013126	0.013126
0.013349	0.013171	0.013172
0.013395	0.013217	0.013217
0.013442	0.013263	0.013263
0.013489	0.013309	0.013309
0.013536	0.013354	0.013354
0.013583	0.0134	0.0134
0.01363	0.013446	0.013446
0.013677	0.013491	0.013491
0.013724	0.013537	0.013537
0.013771	0.013582	0.013582
0.013818	0.013628	0.013628
0.013865	0.013674	0.013674
0.013912	0.013719	0.013719
0.013959	0.013765	0.013765
0.014005	0.013811	0.013811
0.014052	0.013856	0.013856
0.014099	0.013902	0.013902
0.014146	0.013948	0.013948
0.014193	0.013993	0.013993
0.01424	0.014039	0.014039
0.014287	0.014084	0.014084
0.014334	0.01413	0.01413
0.014381	0.014176	0.014176
0.014428	0.014221	0.014221
0.014475	0.014267	0.014267
0.014522	0.014312	0.014312
0.014569	0.014358	0.014358
0.014616	0.014403	0.014404
0.014663	0.014449	0.014449
0.014709	0.014495	0.014495
0.014756	0.01454	0.01454
0.014803	0.014586	0.014586
0.01485	0.014631	0.014631
0.014897	0.014677	0.014677
0.014944	0.014722	0.014722
0.014991	0.014768	0.014768
0.015038	0.014814	0.014814
0.015085	0.014859	0.014859
0.015132	0.014905	0.014905
0.015179	0.01495	0.01495
0.015226	0.014996	0.014996
0.015273	0.015041	0.015041
0.01532	0.015087	0.015087
0.015367	0.015132	0.015132
0.015414	0.015178	0.015178
0.01546	0.015223	0.015223
0.015507	0.015269	0.015269
0.015554	0.015314	0.015314
0.015601	0.01536	0.01536
0.015648	0.015405	0.015405
0.015695	0.015451	0.015451
0.015742	0.015496	0.015496
0.015789	0.015542	0.015542
0.015836	0.015587	0.015587
0.015883	0.015633	0.015633
0.01593	0.015678	0.015678
0.015977	0.015724	0.015724
0.016024	0.015769	0.015769
0.016071	0.015815	0.015815
0.016118	0.01586	0.01586
0.016165	0.015905	0.015906
0.016212	0.015951	0.015951
0.016259	0.015996	0.015996
0.016306	0.016042	0.016042
0.016353	0.016087	0.016087
0.016399	0.016133	0.016133
0.016446	0.016178	0.016178
0.016493	0.016224	0.016224
0.01654	0.016269	0.016269
0.016587	0.016314	0.016314
0.016634	0.01636	0.01636
0.016681	0.016405	0.016405
0.016728	0.016451	0.016451
0.016775	0.016496	0.016496
0.016822	0.016541	0.016541
0.016869	0.016587	0.016587
0.016916	0.016632	0.016632
0.016963	0.016678	0.016678
0.01701	0.016723	0.016723
0.017057	0.016768	0.016768
0.017104	0.016814	0.016814
0.017151	0.016859	0.016859
0.017198	0.016905	0.016905
0.017245	0.01695	0.01695
0.017292	0.016995	0.016995
0.017339	0.017041	0.017041
0.017386	0.017086	0.017086
0.017433	0.017131	0.017131
0.01748	0.017177	0.017177
0.017527	0.017222	0.017222
0.017574	0.017267	0.017267
0.01762	0.017313	0.017313
0.017667	0.017358	0.017358
0.017714	0.017403	0.017403
0.017761	0.017449	0.017449
0.017808	0.017494	0.017494
0.017855	0.017539	0.017539
0.017902	0.017585	0.017585
0.017949	0.01763	0.01763
0.017996	0.017675	0.017675
0.018043	0.017721	0.017721
0.01809	0.017766	0.017766
0.018137	0.017811	0.017811
0.018184	0.017856	0.017856
0.018231	0.017902	0.017902
0.018278	0.017947	0.017947
0.018325	0.017992	0.017992
0.018372	0.018038	0.018038
0.018419	0.018083	0.018083
0.018466	0.018128	0.018128
0.018513	0.018173	0.018173
0.01856	0.018219	0.018219
0.018607	0.018264	0.018264
0.018654	0.018309	0.018309
0.018701	0.018354	0.018354
0.018748	0.0184	0.0184
0.018795	0.018445	0.018445
0.018842	0.01849	0.01849
0.018889	0.018535	0.018535
0.018936	0.018581	0.018581
0.018983	0.018626	0.018626
0.01903	0.018671	0.018671
0.019077	0.018716	0.018716
0.019124	0.018761	0.018762
0.019171	0.018807	0.018807
0.019218	0.018852	0.018852
0.019265	0.018897	0.018897
0.019312	0.018942	0.018942
0.019359	0.018988	0.018988
0.019406	0.019033	0.019033
0.019453	0.019078	0.019078
0.0195	0.019123	0.019123
0.019547	0.019168	0.019168
0.019594	0.019213	0.019213
0.019641	0.019259	0.019259
0.019688	0.019304	0.019304
0.019735	0.019349	0.019349
0.019782	0.019394	0.019394
0.019829	0.019439	0.019439
0.019876	0.019484	0.019484
0.019923	0.01953	0.01953
0.01997	0.019575	0.019575
0.020017	0.01962	0.01962
0.020064	0.019665	0.019665
0.020111	0.01971	0.01971
0.020158	0.019755	0.019755
0.020205	0.0198	0.0198
0.020252	0.019846	0.019846
0.020299	0.019891	0.019891
0.020346	0.019936	0.019936
0.020393	0.019981	0.019981
0.02044	0.020026	0.020026
0.020487	0.020071	0.020071
0.020534	0.020116	0.020116
0.020581	0.020161	0.020161
0.020628	0.020206	0.020206
0.020675	0.020252	0.020252
0.020722	0.020297	0.020297
0.020769	0.020342	0.020342
0.020816	0.020387	0.020387
0.020863	0.020432	0.020432
0.02091	0.020477	0.020477
0.020957	0.020522	0.020522
0.021004	0.020567	0.020567
0.021051	0.020612	0.020612
0.021098	0.020657	0.020657
0.021145	0.020702	0.020702
0.021192	0.020747	0.020747
0.021239	0.020792	0.020792
0.021286	0.020837	0.020837
0.021333	0.020882	0.020882
0.02138	0.020927	0.020928
0.021427	0.020973	0.020973
0.021474	0.021018	0.021018
0.021521	0.021063	0.021063
0.021568	0.021108	0.021108
0.021615	0.021153	0.021153
0.021662	0.021198	0.021198
0.021709	0.021243	0.021243
0.021756	0.021288	0.021288
0.021803	0.021333	0.021333
0.02185	0.021378	0.021378
0.021897	0.021423	0.021423
0.021944	0.021468	0.021468
0.021991	0.021513	0.021513
0.022038	0.021558	0.021558
0.022085	0.021603	0.021603
0.022132	0.021648	0.021648
0.022179	0.021693	0.021693
0.022226	0.021738	0.021738
0.022273	0.021782	0.021783
0.02232	0.021827	0.021827
0.022367	0.021872	0.021872
0.022414	0.021917	0.021917
0.022461	0.021962	0.021962
0.022508	0.022007	0.022007
0.022555	0.022052	0.022052
0.022602	0.022097	0.022097
0.022649	0.022142	0.022142
0.022696	0.022187	0.022187
0.022743	0.022232	0.022232
0.02279	0.022277	0.022277
0.022837	0.022322	0.022322
0.022884	0.022367	0.022367
0.022932	0.022412	0.022412
0.022979	0.022457	0.022457
0.023026	0.022501	0.022501
0.023073	0.022546	0.022546
0.02312	0.022591	0.022591
0.023167	0.022636	0.022636
0.023214	0.022681	0.022681
0.023261	0.022726	0.022726
0.023308	0.022771	0.022771
0.023355	0.022816	0.022816
0.023402	0.022861	0.022861
0.023449	0.022905	0.022905
0.023496	0.02295	0.02295
0.023543	0.022995	0.022995
0.02359	0.02304	0.02304
0.023637	0.023085	0.023085
0.023684	0.02313	0.02313
0.023731	0.023175	0.023175
0.023778	0.023219	0.023219
0.023825	0.023264	0.023264
0.023872	0.023309	0.023309
0.023919	0.023354	0.023354
0.023966	0.023399	0.023399
0.024013	0.023444	0.023444
0.02406	0.023488	0.023488
0.024108	0.023533	0.023533
0.024155	0.023578	0.023578
0.024202	0.023623	0.023623
0.024249	0.023668	0.023668
0.024296	0.023712	0.023713
0.024343	0.023757	0.023757
0.02439	0.023802	0.023802
0.024437	0.023847	0.023847
0.024484	0.023892	0.023892
0.024531	0.023936	0.023937
0.024578	0.023981	0.023981
0.024625	0.024026	0.024026
0.024672	0.024071	0.024071
0.024719	0.024116	0.024116
0.024766	0.02416	0.02416
0.024813	0.024205	0.024205
0.02486	0.02425	0.02425
0.024907	0.024295	0.024295
0.024954	0.024339	0.024339
0.025002	0.024384	0.024384
0.025049	0.024429	0.024429
0.025096	0.024474	0.024474
0.025143	0.024518	0.024518
0.02519	0.024563	0.024563
0.025237	0.024608	0.024608
0.025284	0.024653	0.024653
0.025331	0.024697	0.024697
0.025378	0.024742	0.024742
0.025425	0.024787	0.024787
0.025472	0.024831	0.024831
0.025519	0.024876	0.024876
0.025566	0.024921	0.024921
0.025613	0.024966	0.024966
0.02566	0.02501	0.02501
0.025707	0.025055	0.025055
0.025755	0.0251	0.0251
0.025802	0.025144	0.025144
0.025849	0.025189	0.025189
0.025896	0.025234	0.025234
0.025943	0.025278	0.025278
0.02599	0.025323	0.025323
0.026037	0.025368	0.025368
0.026084	0.025412	0.025412
0.026131	0.025457	0.025457
0.026178	0.025502	0.025502
0.026225	0.025546	0.025546
0.026272	0.025591	0.025591
0.026319	0.025636	0.025636
0.026366	0.02568	0.02568
0.026414	0.025725	0.025725
0.026461	0.02577	0.02577
0.026508	0.025814	0.025814
0.026555	0.025859	0.025859
0.026602	0.025903	0.025903
0.026649	0.025948	0.025948
0.026696	0.025993	0.025993
0.026743	0.026037	0.026037
0.02679	0.026082	0.026082
0.026837	0.026127	0.026127
0.026884	0.026171	0.026171
0.026931	0.026216	0.026216
0.026978	0.02626	0.02626
0.027026	0.026305	0.026305
0.027073	0.026349	0.02635
0.02712	0.026394	0.026394
0.027167	0.026439	0.026439
0.027214	0.026483	0.026483
0.027261	0.026528	0.026528
0.027308	0.026572	0.026572
0.027355	0.026617	0.026617
0.027402	0.026661	0.026662
0.027449	0.026706	0.026706
0.027496	0.026751	0.026751
0.027543	0.026795	0.026795
0.027591	0.02684	0.02684
0.027638	0.026884	0.026884
0.027685	0.026929	0.026929
0.027732	0.026973	0.026973
0.027779	0.027018	0.027018
0.027826	0.027062	0.027062
0.027873	0.027107	0.027107
0.02792	0.027151	0.027151
0.027967	0.027196	0.027196
0.028014	0.02724	0.02724
0.028062	0.027285	0.027285
0.028109	0.027329	0.02733
0.028156	0.027374	0.027374
0.028203	0.027418	0.027419
0.02825	0.027463	0.027463
0.028297	0.027507	0.027507
0.028344	0.027552	0.027552
0.028391	0.027596	0.027596
0.028438	0.027641	0.027641
0.028485	0.027685	0.027685
0.028532	0.02773	0.02773
0.02858	0.027774	0.027774
0.028627	0.027819	0.027819
0.028674	0.027863	0.027863
0.028721	0.027908	0.027908
0.028768	0.027952	0.027952
0.028815	0.027997	0.027997
0.028862	0.028041	0.028041
0.028909	0.028086	0.028086
0.028956	0.02813	0.02813
0.029004	0.028174	0.028174
0.029051	0.028219	0.028219
0.029098	0.028263	0.028263
0.029145	0.028308	0.028308
0.029192	0.028352	0.028352
0.029239	0.028397	0.028397
0.029286	0.028441	0.028441
0.029333	0.028485	0.028485
0.02938	0.02853	0.02853
0.029428	0.028574	0.028574
0.029475	0.028619	0.028619
0.029522	0.028663	0.028663
0.029569	0.028707	0.028707
0.029616	0.028752	0.028752
0.029663	0.028796	0.028796
0.02971	0.02884	0.028841
0.029757	0.028885	0.028885
0.029804	0.028929	0.028929
0.029852	0.028974	0.028974
0.029899	0.029018	0.029018
0.029946	0.029062	0.029062
0.029993	0.029107	0.029107
0.03004	0.029151	0.029151
0.030087	0.029195	0.029195
0.030134	0.02924	0.02924
0.030181	0.029284	0.029284
0.030229	0.029328	0.029328
0.030276	0.029373	0.029373
0.030323	0.029417	0.029417
0.03037	0.029461	0.029461
0.030417	0.029506	0.029506
0.030464	0.02955	0.02955
0.030511	0.029594	0.029594
0.030558	0.029639	0.029639
0.030606	0.029683	0.029683
0.030653	0.029727	0.029727
0.0307	0.029772	0.029772
0.030747	0.029816	0.029816
0.030794	0.02986	0.02986
0.030841	0.029905	0.029905
0.030888	0.029949	0.029949
0.030935	0.029993	0.029993
0.030983	0.030037	0.030037
0.03103	0.030082	0.030082
0.031077	0.030126	0.030126
0.031124	0.03017	0.03017
0.031171	0.030214	0.030215
0.031218	0.030259	0.030259
0.031265	0.030303	0.030303
0.031313	0.030347	0.030347
0.03136	0.030391	0.030392
0.031407	0.030436	0.030436
0.031454	0.03048	0.03048
0.031501	0.030524	0.030524
0.031548	0.030568	0.030569
0.031595	0.030613	0.030613
0.031643	0.030657	0.030657
0.03169	0.030701	0.030701
0.031737	0.030745	0.030745
0.031784	0.03079	0.03079
0.031831	0.030834	0.030834
0.031878	0.030878	0.030878
0.031925	0.030922	0.030922
0.031973	0.030966	0.030966
0.03202	0.031011	0.031011
0.032067	0.031055	0.031055
0.032114	0.031099	0.031099
0.032161	0.031143	0.031143
0.032208	0.031187	0.031187
0.032255	0.031232	0.031232
0.032303	0.031276	0.031276
0.03235	0.03132	0.03132
0.032397	0.031364	0.031364
0.032444	0.031408	0.031408
0.032491	0.031452	0.031453
0.032538	0.031497	0.031497
0.032586	0.031541	0.031541
0.032633	0.031585	0.031585
0.03268	0.031629	0.031629
0.032727	0.031673	0.031673
0.032774	0.031717	0.031717
0.032821	0.031762	0.031762
0.032868	0.031806	0.031806
0.032916	0.03185	0.03185
0.032963	0.031894	0.031894
0.03301	0.031938	0.031938
0.033057	0.031982	0.031982
0.033104	0.032026	0.032026
0.033151	0.03207	0.03207
0.033199	0.032114	0.032115
0.033246	0.032159	0.032159
0.033293	0.032203	0.032203
0.03334	0.032247	0.032247
0.033387	0.032291	0.032291
0.033434	0.032335	0.032335
0.033482	0.032379	0.032379
0.033529	0.032423	0.032423
0.033576	0.032467	0.032467
0.033623	0.032511	0.032511
0.03367	0.032555	0.032555
0.033717	0.032599	0.032599
0.033765	0.032644	0.032644
0.033812	0.032688	0.032688
0.033859	0.032732	0.032732
0.033906	0.032776	0.032776
0.033953	0.03282	0.03282
0.034	0.032864	0.032864
0.034048	0.032908	0.032908
0.034095	0.032952	0.032952
0.034142	0.032996	0.032996
0.034189	0.03304	0.03304
0.034236	0.033084	0.033084
0.034283	0.033128	0.033128
0.034331	0.033172	0.033172
0.034378	0.033216	0.033216
0.034425	0.03326	0.03326
0.034472	0.033304	0.033304
0.034519	0.033348	0.033348
0.034567	0.033392	0.033392
0.034614	0.033436	0.033436
0.034661	0.03348	0.03348
0.034708	0.033524	0.033524
0.034755	0.033568	0.033568
0.034802	0.033612	0.033612
0.03485	0.033656	0.033656
0.034897	0.0337	0.0337
0.034944	0.033744	0.033744
0.034991	0.033788	0.033788
0.035038	0.033832	0.033832
0.035086	0.033876	0.033876
0.035133	0.03392	0.03392
0.03518	0.033964	0.033964
0.035227	0.034008	0.034008
0.035274	0.034052	0.034052
0.035322	0.034096	0.034096
0.035369	0.03414	0.03414
0.035416	0.034183	0.034184
0.035463	0.034227	0.034227
0.03551	0.034271	0.034271
0.035557	0.034315	0.034315
0.035605	0.034359	0.034359
0.035652	0.034403	0.034403
0.035699	0.034447	0.034447
0.035746	0.034491	0.034491
0.035793	0.034535	0.034535
0.035841	0.034579	0.034579
0.035888	0.034623	0.034623
0.035935	0.034667	0.034667
0.035982	0.03471	0.034711
0.036029	0.034754	0.034754
0.036077	0.034798	0.034798
0.036124	0.034842	0.034842
0.036171	0.034886	0.034886
0.036218	0.03493	0.03493
0.036265	0.034974	0.034974
0.036313	0.035018	0.035018
0.03636	0.035061	0.035062
0.036407	0.035105	0.035105
0.036454	0.035149	0.035149
0.036501	0.035193	0.035193
0.036549	0.035237	0.035237
0.036596	0.035281	0.035281
0.036643	0.035325	0.035325
0.03669	0.035368	0.035368
0.036737	0.035412	0.035412
0.036785	0.035456	0.035456
0.036832	0.0355	0.0355
0.036879	0.035544	0.035544
0.036926	0.035588	0.035588
0.036974	0.035631	0.035631
0.037021	0.035675	0.035675
0.037068	0.035719	0.035719
0.037115	0.035763	0.035763
0.037162	0.035807	0.035807
0.03721	0.03585	0.03585
0.037257	0.035894	0.035894
0.037304	0.035938	0.035938
0.037351	0.035982	0.035982
0.037398	0.036026	0.036026
0.037446	0.036069	0.036069
0.037493	0.036113	0.036113
0.03754	0.036157	0.036157
0.037587	0.036201	0.036201
0.037635	0.036244	0.036245
0.037682	0.036288	0.036288
0.037729	0.036332	0.036332
0.037776	0.036376	0.036376
0.037823	0.036419	0.03642
0.037871	0.036463	0.036463
0.037918	0.036507	0.036507
0.037965	0.036551	0.036551
0.038012	0.036594	0.036595
0.03806	0.036638	0.036638
0.038107	0.036682	0.036682
0.038154	0.036726	0.036726
0.038201	0.036769	0.036769
0.038248	0.036813	0.036813
0.038296	0.036857	0.036857
0.038343	0.036901	0.036901
0.03839	0.036944	0.036944
0.038437	0.036988	0.036988
0.038485	0.037032	0.037032
0.038532	0.037075	0.037075
0.038579	0.037119	0.037119
0.038626	0.037163	0.037163
0.038674	0.037206	0.037206
0.038721	0.03725	0.03725
0.038768	0.037294	0.037294
0.038815	0.037337	0.037338
0.038863	0.037381	0.037381
0.03891	0.037425	0.037425
0.038957	0.037468	0.037469
0.039004	0.037512	0.037512
0.039051	0.037556	0.037556
0.039099	0.037599	0.037599
0.039146	0.037643	0.037643
0.039193	0.037687	0.037687
0.03924	0.03773	0.03773
0.039288	0.037774	0.037774
0.039335	0.037818	0.037818
0.039382	0.037861	0.037861
0.039429	0.037905	0.037905
0.039477	0.037949	0.037949
0.039524	0.037992	0.037992
0.039571	0.038036	0.038036
0.039618	0.038079	0.038079
0.039666	0.038123	0.038123
0.039713	0.038167	0.038167
0.03976	0.03821	0.03821
0.039807	0.038254	0.038254
0.039855	0.038297	0.038297
0.039902	0.038341	0.038341
0.039949	0.038385	0.038385
0.039996	0.038428	0.038428
0.040044	0.038472	0.038472
0.040091	0.038515	0.038515
0.040138	0.038559	0.038559
0.040185	0.038602	0.038603
0.040233	0.038646	0.038646
0.04028	0.03869	0.03869
0.040327	0.038733	0.038733
0.040374	0.038777	0.038777
0.040422	0.03882	0.03882
0.040469	0.038864	0.038864
0.040516	0.038907	0.038907
0.040563	0.038951	0.038951
0.040611	0.038994	0.038995
0.040658	0.039038	0.039038
0.040705	0.039082	0.039082
0.040752	0.039125	0.039125
0.0408	0.039169	0.039169
0.040847	0.039212	0.039212
0.040894	0.039256	0.039256
0.040942	0.039299	0.039299
0.040989	0.039343	0.039343
0.041036	0.039386	0.039386
0.041083	0.03943	0.03943
0.041131	0.039473	0.039473
0.041178	0.039517	0.039517
0.041225	0.03956	0.03956
0.041272	0.039604	0.039604
0.04132	0.039647	0.039647
0.041367	0.039691	0.039691
0.041414	0.039734	0.039734
0.041461	0.039778	0.039778
0.041509	0.039821	0.039821
0.041556	0.039864	0.039865
0.041603	0.039908	0.039908
0.041651	0.039951	0.039951
0.041698	0.039995	0.039995
0.041745	0.040038	0.040038
0.041792	0.040082	0.040082
0.04184	0.040125	0.040125
0.041887	0.040169	0.040169
0.041934	0.040212	0.040212
0.041982	0.040255	0.040256
0.042029	0.040299	0.040299
0.042076	0.040342	0.040342
0.042123	0.040386	0.040386
0.042171	0.040429	0.040429
0.042218	0.040473	0.040473
0.042265	0.040516	0.040516
0.042312	0.040559	0.040559
0.04236	0.040603	0.040603
0.042407	0.040646	0.040646
0.042454	0.04069	0.04069
0.042502	0.040733	0.040733
0.042549	0.040776	0.040776
0.042596	0.04082	0.04082
0.042643	0.040863	0.040863
0.042691	0.040907	0.040907
0.042738	0.04095	0.04095
0.042785	0.040993	0.040993
0.042833	0.041037	0.041037
0.04288	0.04108	0.04108
0.042927	0.041123	0.041123
0.042975	0.041167	0.041167
0.043022	0.04121	0.04121
0.043069	0.041253	0.041254
0.043116	0.041297	0.041297
